centre,average_rent_2br_2024,average_rent_2br_2025,rent_growth_pct_2024_2025,vacancy_rate_2024,vacancy_rate_2025,vacancy_change_pct_points,turnover_rate_2024,turnover_rate_2025,change_label,is_caution_quality
St. John's CMA,1250.0,1361.0,7.6,2.1,2.0,-0.1,14.1,13.0,Rent rising + vacancy tightening,0
Charlottetown CA,1196.0,1300.0,4.7,0.7,1.6,0.9,9.1,9.8,Rent rising + vacancy easing,1
Halifax CMA,1707.0,1826.0,6.7,2.1,2.7,0.6,10.0,9.0,Rent rising + vacancy easing,0
Fredericton CMA,1341.0,1413.0,5.2,0.9,2.5,1.6,18.1,13.1,Rent rising + vacancy easing,0
Moncton CMA,1353.0,1453.0,4.7,1.5,3.9,2.4,13.4,15.4,Rent rising + vacancy easing,0
Saint John CMA,1229.0,1290.0,5.8,4.0,1.9,-2.1,13.8,11.8,Rent rising + vacancy tightening,0
Saguenay CMA,882.0,985.0,10.9,1.6,1.3,-0.3,13.3,12.6,Rent rising + vacancy tightening,0
Drummondville CMA,888.0,1045.0,,1.5,1.8,0.3,14.3,10.9,Monitor,0
Montréal CMA,1176.0,1346.0,7.2,2.1,2.9,0.8,11.1,9.4,Rent rising + vacancy easing,0
Ottawa-Gatineau CMA (Qué. part),1353.0,1460.0,4.7,1.9,3.8,1.9,17.3,16.2,Rent rising + vacancy easing,1
Québec CMA,1159.0,1277.0,6.1,0.9,2.4,1.5,13.9,13.0,Rent rising + vacancy easing,0
Sherbrooke CMA,1002.0,1062.0,9.8,1.4,2.7,1.3,10.4,12.0,Rent rising + vacancy easing,0
Trois-Rivières CMA,885.0,1016.0,6.6,0.9,2.7,1.8,10.2,10.1,Rent rising + vacancy easing,0
Barrie CMA,1706.0,1755.0,4.3,3.4,4.3,0.9,12.7,12.8,Rent rising + vacancy easing,0
Belleville - Quinte West CMA,1448.0,1484.0,,3.5,3.4,-0.1,15.9,16.9,Rent stable/unknown + vacancy tightening,0
Brantford CMA,1438.0,1619.0,,2.3,3.5,1.2,12.2,14.5,Monitor,0
Guelph CMA,1740.0,1802.0,4.6,1.9,3.1,1.2,11.4,15.1,Rent rising + vacancy easing,0
Hamilton CMA,1632.0,1656.0,1.6,2.4,3.6,1.2,9.5,13.1,Rent rising + vacancy easing,0
Kingston CMA,1676.0,1764.0,2.4,2.9,2.4,-0.5,16.4,17.3,Rent rising + vacancy tightening,0
Kitchener-Cambridge-Waterloo CMA,1766.0,1832.0,3.3,3.6,4.1,0.5,12.0,16.1,Rent rising + vacancy easing,0
London CMA,1548.0,1651.0,4.1,2.9,4.0,1.1,13.4,15.1,Rent rising + vacancy easing,0
St. Catharines-Niagara CMA,1474.0,1527.0,5.5,3.8,3.9,0.1,12.4,12.8,Rent rising + vacancy easing,0
Oshawa CMA,1686.0,1754.0,,3.6,3.7,0.1,6.1,4.8,Monitor,0
Ottawa-Gatineau CMA (Ont. part),1880.0,1926.0,3.4,2.6,3.0,0.4,14.5,15.4,Rent rising + vacancy easing,0
Peterborough CMA,1506.0,1518.0,,3.3,3.1,-0.2,10.2,8.4,Rent stable/unknown + vacancy tightening,0
Greater Sudbury/Grand Sudbury CMA,1462.0,1558.0,,1.5,1.2,-0.3,8.3,6.6,Rent stable/unknown + vacancy tightening,0
Thunder Bay CMA,1443.0,1495.0,6.8,3.2,4.0,0.8,10.9,3.4,Rent rising + vacancy easing,0
Toronto CMA,1974.0,2046.0,3.4,2.5,3.0,0.5,6.4,8.7,Rent rising + vacancy easing,0
Windsor CMA,1387.0,1454.0,3.6,3.3,3.7,0.4,11.8,12.2,Rent rising + vacancy easing,1
Winnipeg CMA,1507.0,1571.0,1.9,1.7,2.8,1.1,18.5,22.2,Rent rising + vacancy easing,0
Regina CMA,1415.0,1473.0,4.2,2.6,2.7,0.1,31.6,27.6,Rent rising + vacancy easing,0
Saskatoon CMA,1471.0,1548.0,5.2,2.0,3.3,1.3,28.6,19.3,Rent rising + vacancy easing,0
Calgary CMA,1882.0,1914.0,,4.8,5.0,0.2,23.6,24.9,Monitor,0
Edmonton CMA,1536.0,1603.0,3.5,3.1,3.8,0.7,26.5,28.8,Rent rising + vacancy easing,0
Lethbridge CMA,1595.0,1706.0,6.7,0.5,4.5,4.0,,46.3,Rent rising + vacancy easing,1
Red Deer CMA,1363.0,1414.0,5.8,1.5,3.5,2.0,22.6,20.5,Rent rising + vacancy easing,0
Abbotsford-Mission CMA,1493.0,1592.0,5.3,1.1,2.8,1.7,13.1,9.7,Rent rising + vacancy easing,1
Chilliwack CMA,1402.0,1526.0,,1.3,3.0,1.7,10.1,10.1,Monitor,0
Kamloops CMA,1531.0,1679.0,,1.4,1.2,-0.2,14.7,17.6,Rent stable/unknown + vacancy tightening,0
Kelowna CMA,1935.0,2118.0,2.4,3.8,6.4,2.6,23.8,29.6,Rent rising + vacancy easing,0
Nanaimo CMA,1787.0,1910.0,3.5,2.9,2.2,-0.7,20.2,23.6,Rent rising + vacancy tightening,0
Vancouver CMA,2314.0,2363.0,2.2,1.6,3.7,2.1,9.1,11.6,Rent rising + vacancy easing,0
Victoria CMA,1993.0,2120.0,5.1,2.6,3.3,0.7,14.6,18.8,Rent rising + vacancy easing,0
